file_name,egg,chicken,shrimp,cheese,pork,crab
popcorn_0575.png,0,0,0,0,0,0
popcorn_0327.png,0,0,0,0,0,0
popcorn_0780.png,0,0,0,0,0,0
popcorn_0908.png,0,0,0,0,0,0
popcorn_0153.png,0,0,0,0,0,0
popcorn_0761.png,0,0,0,0,0,0
popcorn_0090.png,0,0,0,0,0,0
popcorn_0986.png,0,0,0,0,0,0
popcorn_0335.png,0,0,0,0,0,0
popcorn_0592.png,0,0,0,0,0,0
popcorn_0648.png,0,0,0,0,0,0
popcorn_0583.png,0,0,0,0,0,0
popcorn_0074.png,0,0,0,0,0,0
popcorn_0355.png,0,0,0,0,0,0
popcorn_0675.png,0,0,0,0,0,0
popcorn_0262.png,0,0,0,0,0,0
popcorn_0313.png,0,0,0,0,0,0
popcorn_0339.png,0,0,0,0,0,0
popcorn_0554.png,0,0,0,0,0,0
popcorn_0788.png,0,0,0,0,0,0
popcorn_0599.png,0,0,0,0,0,0
popcorn_0831.png,0,0,0,0,0,0
popcorn_0555.png,0,0,0,0,0,0
popcorn_0160.png,0,0,0,0,0,0
popcorn_0890.png,0,0,0,0,0,0
popcorn_0898.png,0,0,0,0,0,0
popcorn_0110.png,0,0,0,0,0,0
popcorn_0584.png,0,0,0,0,0,0
popcorn_0402.png,0,0,0,0,0,0
popcorn_0061.png,0,0,0,0,0,0
popcorn_0343.png,0,0,0,0,0,0
popcorn_0230.png,0,0,0,0,0,0
popcorn_0569.png,0,0,0,0,0,0
popcorn_0744.png,0,0,0,0,0,0
popcorn_0396.png,0,0,0,0,0,0
popcorn_0029.png,0,0,0,0,0,0
popcorn_0331.png,0,0,0,0,0,0
popcorn_0850.png,0,0,0,0,0,0
popcorn_0428.png,0,0,0,0,0,0
popcorn_0458.png,0,0,0,0,0,0
popcorn_0786.png,0,0,0,0,0,0
popcorn_0360.png,0,0,0,0,0,0
popcorn_0451.png,0,0,0,0,0,0
popcorn_0818.png,0,0,0,0,0,0
popcorn_0870.png,0,0,0,0,0,0
popcorn_0318.png,0,0,0,0,0,0
popcorn_0133.png,0,0,0,0,0,0
popcorn_0501.png,0,0,0,0,0,0
popcorn_0879.png,0,0,0,0,0,0
popcorn_0580.png,0,0,0,0,0,0
popcorn_0689.png,0,0,0,0,0,0
popcorn_0455.png,0,0,0,0,0,0
popcorn_0382.png,0,0,0,0,0,0
popcorn_0168.png,0,0,0,0,0,0
popcorn_0868.png,0,0,0,0,0,0
popcorn_0490.png,0,0,0,0,0,0
popcorn_0116.png,0,0,0,0,0,0
popcorn_0927.png,0,0,0,0,0,0
popcorn_0456.png,0,0,0,0,0,0
popcorn_0468.png,0,0,0,0,0,0
popcorn_0624.png,0,0,0,0,0,0
popcorn_0659.png,0,0,0,0,0,0
popcorn_0202.png,0,0,0,0,0,0
popcorn_0288.png,0,0,0,0,0,0
popcorn_0872.png,0,0,0,0,0,0
popcorn_0159.png,0,0,0,0,0,0
popcorn_0219.png,0,0,0,0,0,0
popcorn_0682.png,0,0,0,0,0,0
popcorn_0540.png,0,0,0,0,0,0
popcorn_0236.png,0,0,0,0,0,0
popcorn_0188.png,0,0,0,0,0,0
popcorn_0533.png,0,0,0,0,0,0
popcorn_0526.png,0,0,0,0,0,0
popcorn_0639.png,0,0,0,0,0,0
popcorn_0463.png,0,0,0,0,0,0
popcorn_0073.png,0,0,0,0,0,0
popcorn_0319.png,0,0,0,0,0,0
popcorn_0828.png,0,0,0,0,0,0
popcorn_0911.png,0,0,0,0,0,0
popcorn_0974.png,0,0,0,0,0,0
popcorn_0549.png,0,0,0,0,0,0
popcorn_0217.png,0,0,0,0,0,0
popcorn_0854.png,0,0,0,0,0,0
popcorn_0239.png,0,0,0,0,0,0
popcorn_0437.png,0,0,0,0,0,0
popcorn_0755.png,0,0,0,0,0,0
popcorn_0106.png,0,0,0,0,0,0
popcorn_0944.png,0,0,0,0,0,0
popcorn_0683.png,0,0,0,0,0,0
popcorn_0001.png,0,0,0,0,0,0
popcorn_0865.png,0,0,0,0,0,0
popcorn_0406.png,0,0,0,0,0,0
popcorn_0302.png,0,0,0,0,0,0
